2019-11-04 12:43:29.834 [main] ERROR  - 43 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 45 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 57 : 12 - cvc-complex-type.4: Attribute 'id' must appear on element 'liana'.
2019-11-04 12:43:29.834 [main] ERROR  - 60 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 62 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 75 : 12 - cvc-complex-type.4: Attribute 'id' must appear on element 'liana'.
2019-11-04 12:43:29.850 [main] ERROR  - 78 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 80 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 92 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:43:29.850 [main] ERROR  - 95 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 97 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 109 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:43:29.850 [main] ERROR  - 112 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 114 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 127 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:43:29.850 [main] ERROR  - 130 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 132 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 144 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:43:29.850 [main] ERROR  - 145 : 15 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":soil}'. One of '{"http://www.ysenko.by/flowers":name}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 145 : 28 - cvc-enumeration-valid: Value 'asdasd' is not facet-valid with respect to enumeration '[Podzolic, Ground, Sod-podzolic]'. It must be a value from the enumeration.
2019-11-04 12:43:29.850 [main] ERROR  - 145 : 28 - cvc-type.3.1.3: The value 'asdasd' of element 'soil' is not valid.
2019-11-04 12:43:29.850 [main] ERROR  - 148 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.850 [main] ERROR  - 149 : 40 - cvc-datatype-valid.1.2.1: 'asdzxc' is not a valid value for 'boolean'.
2019-11-04 12:43:29.850 [main] ERROR  - 149 : 40 - cvc-type.3.1.3: The value 'asdzxc' of element 'lighting' is not valid.
2019-11-04 12:43:29.850 [main] ERROR  - 150 : 41 - cvc-datatype-valid.1.2.1: '32423er' is not a valid value for 'float'.
2019-11-04 12:43:29.850 [main] ERROR  - 150 : 41 - cvc-type.3.1.3: The value '32423er' of element 'watering' is not valid.
2019-11-04 12:43:29.850 [main] ERROR  - 160 : 11 - cvc-complex-type.2.4.j: The content of element 'flowers' is not complete. '"http://www.ysenko.by/flowers":flower' is expected to occur a minimum of '16' times. '7' more instances are required to satisfy this constraint.
2019-11-04 12:44:38.282 [main] ERROR  - 5 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:44:38.329 [main] ERROR  - 8 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.329 [main] ERROR  - 10 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.329 [main] ERROR  - 22 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:44:38.329 [main] ERROR  - 26 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.329 [main] ERROR  - 28 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.329 [main] ERROR  - 40 : 12 - cvc-complex-type.4: Attribute 'id' must appear on element 'liana'.
2019-11-04 12:44:38.344 [main] ERROR  - 43 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 45 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 57 : 12 - cvc-complex-type.4: Attribute 'id' must appear on element 'liana'.
2019-11-04 12:44:38.344 [main] ERROR  - 60 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 62 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 75 : 12 - cvc-complex-type.4: Attribute 'id' must appear on element 'liana'.
2019-11-04 12:44:38.344 [main] ERROR  - 78 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 80 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 92 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
